mid,lr,epoch,wd,ld,ld_type,criterion,avg_acc
0,7.00E-05,500,0,0.01,exponential,MSE,49.70000076
0,7.00E-05,500,0,0.01,exponential,CROSSENTROPY,49.70000076
0,7.00E-05,500,0,0.01,time-based,MSE,92.09999847
0,7.00E-05,500,0,0.01,time-based,CROSSENTROPY,80
0,7.00E-05,500,0.0001,0,exponential,MSE,97.30000305
0,7.00E-05,500,0.0001,0,exponential,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.0001,0,time-based,MSE,97.30000305
0,7.00E-05,500,0.0001,0,time-based,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.0001,0.0001,exponential,MSE,97.69999695
0,7.00E-05,500,0.0001,0.0001,exponential,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.0001,0.0001,time-based,MSE,97.69999695
0,7.00E-05,500,0.0001,0.0001,time-based,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.0001,0.001,exponential,MSE,97.79999542
0,7.00E-05,500,0.0001,0.001,exponential,CROSSENTROPY,96.79999542
0,7.00E-05,500,0.0001,0.001,time-based,MSE,97.8999939
0,7.00E-05,500,0.0001,0.001,time-based,CROSSENTROPY,97.5
0,7.00E-05,500,0.0001,0.01,exponential,MSE,49.70000076
0,7.00E-05,500,0.0001,0.01,exponential,CROSSENTROPY,49.70000076
0,7.00E-05,500,0.0001,0.01,time-based,MSE,92.09999847
0,7.00E-05,500,0.0001,0.01,time-based,CROSSENTROPY,80
0,7.00E-05,500,0.001,0,exponential,MSE,96.90000153
0,7.00E-05,500,0.001,0,exponential,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.001,0,time-based,MSE,96.90000153
0,7.00E-05,500,0.001,0,time-based,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.001,0.0001,exponential,MSE,97.90000153
0,7.00E-05,500,0.001,0.0001,exponential,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.001,0.0001,time-based,MSE,97.69999695
0,7.00E-05,500,0.001,0.0001,time-based,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.001,0.001,exponential,MSE,97.79999542
0,7.00E-05,500,0.001,0.001,exponential,CROSSENTROPY,96.79999542
0,7.00E-05,500,0.001,0.001,time-based,MSE,97.8999939
0,7.00E-05,500,0.001,0.001,time-based,CROSSENTROPY,97.5
0,7.00E-05,500,0.001,0.01,exponential,MSE,49.70000076
0,7.00E-05,500,0.001,0.01,exponential,CROSSENTROPY,49.70000076
0,7.00E-05,500,0.001,0.01,time-based,MSE,92.09999847
0,7.00E-05,500,0.001,0.01,time-based,CROSSENTROPY,80
0,7.00E-05,500,0.01,0,exponential,MSE,97.20000458
0,7.00E-05,500,0.01,0,exponential,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.01,0,time-based,MSE,97.20000458
0,7.00E-05,500,0.01,0,time-based,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.01,0.0001,exponential,MSE,97.59999847
0,7.00E-05,500,0.01,0.0001,exponential,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.01,0.0001,time-based,MSE,97.80000305
0,7.00E-05,500,0.01,0.0001,time-based,CROSSENTROPY,97.59999847
0,7.00E-05,500,0.01,0.001,exponential,MSE,97.79999542
0,7.00E-05,500,0.01,0.001,exponential,CROSSENTROPY,96.79999542
0,7.00E-05,500,0.01,0.001,time-based,MSE,97.8999939
0,7.00E-05,500,0.01,0.001,time-based,CROSSENTROPY,97.5
0,7.00E-05,500,0.01,0.01,exponential,MSE,49.70000076
0,7.00E-05,500,0.01,0.01,exponential,CROSSENTROPY,49.70000076
0,7.00E-05,500,0.01,0.01,time-based,MSE,92.09999847
0,7.00E-05,500,0.01,0.01,time-based,CROSSENTROPY,80
0,0.0001,250,0,0,exponential,MSE,95.5
0,0.0001,250,0,0,exponential,CROSSENTROPY,97.69999695
0,0.0001,250,0,0,time-based,MSE,95.5
0,0.0001,250,0,0,time-based,CROSSENTROPY,97.69999695
0,0.0001,250,0,0.0001,exponential,MSE,95.1000061
0,0.0001,250,0,0.0001,exponential,CROSSENTROPY,97.69999695
0,0.0001,250,0,0.0001,time-based,MSE,94.80000305
0,0.0001,250,0,0.0001,time-based,CROSSENTROPY,97.69999695
0,0.0001,250,0,0.001,exponential,MSE,96.30000305
